Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,Returns,Volatility
2025-09-19,115688.859375,117479.7578125,115141.8203125,117137.671875,38828473971,113264.2625,114338.6328125,114463.2300371724,-0.012364506846338497,0.009095078627607391
2025-09-20,115721.9609375,116191.1484375,115473.5234375,115691.125,22864449614,113638.525,114386.6703125,114583.10917053693,0.0002861257573012477,0.008909560511411433
2025-09-21,115306.09375,115901.0859375,115252.578125,115730.2265625,22495852193,113941.3,114442.25390625,114651.96484477152,-0.003593675600818802,0.008923009243763432
2025-09-22,112748.5078125,115431.3125,112037.6484375,115309.21875,70684158591,114018.69609375,114412.870625,114470.68322265042,-0.02218083931492132,0.009801504287130659
2025-09-23,112014.5,113351.9140625,111535.5703125,112757.4765625,47211853279,114033.260546875,114351.72296875,114236.76101096942,-0.00651013327573835,0.009883147938559574
2025-09-24,113328.6328125,113986.2734375,111229.640625,112007.6640625,48044595085,114163.512109375,114335.46671875,114150.27261111519,0.011731809832655538,0.009959799930004476
2025-09-25,109049.2890625,113541.0859375,108713.3984375,113330.1640625,75528654284,114083.42734375,114215.8925,113664.46465410422,-0.03776048156409062,0.013241031386828743
2025-09-26,109712.828125,110359.1953125,108728.9765625,109041.296875,57738288949,114057.833984375,114060.21109375,113288.11831799906,0.0060847628462732395,0.013300635515746506
2025-09-27,109681.9453125,109778.5,109144.296875,109707.140625,26308042910,113983.550390625,113920.07546875,112944.67326985628,-0.0002814877077529365,0.013142165733128843
2025-09-28,112122.640625,112375.484375,109236.9453125,109681.9453125,33371048505,113986.1109375,113832.52109375,112866.38444653664,0.02225248016477188,0.013987530321640044
2025-09-29,114400.3828125,114473.5703125,111589.953125,112117.875,60000147466,114129.602734375,113734.39359375,113012.47952900935,0.02031473906432546,0.01463468314856153
2025-09-30,114056.0859375,114836.6171875,112740.5625,114396.5234375,58986330258,114134.6390625,113640.88640625,113111.87061553227,-0.003009577997342028,0.013846988434967612
2025-10-01,118648.9296875,118648.9296875,113981.3984375,114057.59375,71328680132,114291.70859375,113610.406875,113639.20957476729,0.04026829179914837,0.0162809164129271
2025-10-02,120681.2578125,121086.40625,118383.15625,118652.3828125,71415163912,114520.692578125,113557.15078125,114309.88083550373,0.017128920845327356,0.01663994033110206
2025-10-03,122266.53125,123944.703125,119344.3125,120656.984375,83941392228,114836.49375,113635.28984375,115067.65706545576,0.013136036748664148,0.016798500780138777
2025-10-04,122425.4296875,122857.640625,121577.5703125,122267.46875,36769171735,115187.382421875,113735.83140625,115768.39731517425,0.001299606980548873,0.016711505774021106
2025-10-05,123513.4765625,125559.2109375,122191.9609375,122419.671875,73689317763,115590.8125,113856.27390625,116506.02391015766,0.008887425412982486,0.01674659667291266
2025-10-06,124752.53125,126198.0703125,123196.046875,123510.453125,72568881188,115986.2796875,114002.26328125,117291.40556157121,0.010031736794915869,0.01669677803298595
2025-10-07,121451.3828125,125184.0234375,120681.96875,124752.140625,76149412513,116235.4234375,114106.2446875,117687.59387118348,-0.026461574802715715,0.017945072080467122
